bioguide_id,source,blame_count,compromise_count,credit_claiming_count,insult_count,policy_count,foreign_policy_count,legislative_discussion_count
B001275,tweets,2,1,2,1,5,0,3
B001277,floor,3,3,3,0,15,10,4
B001277,tweets,0,0,0,0,0,1,0
B001278,floor,2,1,0,1,11,0,7
B001278,newsletters,0,1,4,0,20,0,4
B001278,statements,4,0,0,0,15,0,3
B001278,tweets,0,0,0,0,0,0,0
B001281,floor,0,3,0,1,10,0,6
B001281,tweets,0,0,0,0,0,0,0
B001282,floor,16,8,1,0,47,38,31
B001282,newsletters,0,1,6,0,6,0,4
B001282,tweets,0,0,0,0,0,0,0
B001285,statements,11,10,25,1,151,4,110
B001285,tweets,0,0,0,0,0,0,0
B001287,floor,0,0,0,0,0,0,0
B001287,newsletters,0,3,17,0,28,2,15
B001287,statements,0,0,0,0,0,0,0
B001287,tweets,0,0,0,0,0,0,0
B001288,tweets,0,0,0,0,0,0,0
B001291,floor,7,0,0,1,7,3,1
B001291,newsletters,77,0,6,27,65,13,20
B001291,tweets,1,0,1,1,2,0,1
B001292,floor,1,0,0,0,16,0,8
B001292,tweets,0,0,0,0,1,0,1
B001295,floor,4,0,1,0,21,0,8
B001295,newsletters,22,0,13,2,48,3,33
B001295,tweets,0,0,1,0,2,0,1
B001296,floor,0,0,0,0,2,0,1
B001296,newsletters,0,0,2,0,1,0,0
B001296,statements,0,0,0,0,0,0,0
B001296,tweets,0,0,0,9,0,9,0
B001297,newsletters,5,4,5,0,25,4,15
B001297,tweets,4,1,1,9,4,9,0
B001298,floor,0,0,0,0,2,2,0
B001298,newsletters,0,6,7,0,19,4,13
B001298,tweets,2,2,2,0,3,0,3
B001299,newsletters,17,0,12,6,48,12,26
B001299,tweets,1,0,0,1,0,0,0
B001300,floor,2,0,0,2,4,0,2
B001300,newsletters,2,0,10,1,44,0,11
B001300,statements,29,22,21,9,226,9,112
B001300,tweets,2,0,1,1,2,0,0
B001301,floor,0,0,1,0,20,1,14
